,Instrument,Country of Headquarters,Region of Headquarters,NAICS National Industry Name,NAICS Industry Group Name,NAICS Sector Name,GICS Sub-Industry Name,GICS Industry Name,ICB Industry name,ICB Sector name,GICS Industry Group Name,SIC Industry Name,TRBC Industry Name,TRBC Industry Group Name,TRBC Business Sector Name,TRBC Economic Sector Name,TSE33 Main sector name,NAICS Subsector Name,key
0,CNE1000026G2,China,Asia,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",Other Food Manufacturing,Manufacturing,Packaged Foods & Meats,Food Products,Basic Materials,Chemicals,"Food, Beverage & Tobacco",,Food Processing,Food & Tobacco,Food & Beverages,Consumer Non-Cyclicals,,Food Manufacturing,CNE1000026G2
0,GB00B0WMWD03,United Kingdom,Europe,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufactur","Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",Manufacturing,Aerospace & Defense,Aerospace & Defense,Industrials,Aerospace and Defense,Capital Goods,,Aerospace & Defense,Aerospace & Defense,Industrial Goods,Industrials,,Computer and Electronic Product Manufacturing,GB00B0WMWD03
0,CNE100003JQ6,China,Asia,Commercial Banking,Depository Credit Intermediation,Finance and Insurance,Regional Banks,Banks,Financials,Banks,Banks,,Banks,Banking Services,Banking & Investment Services,Financials,,Credit Intermediation and Related Activities,CNE100003JQ6
0,CNE100000H69,China,Asia,"Power, Distribution, and Specialty Transformer Manufacturing",Electrical Equipment Manufacturing,Manufacturing,Electrical Components & Equipment,Electrical Equipment,Technology,Technology Hardware & Equipment,Capital Goods,,Heavy Electrical Equipment,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Goods,Industrials,,"Electrical Equipment, Appliance, and Component Manufacturing",CNE100000H69
0,CNE000000SW2,China,Asia,Other Nonmetallic Mineral Mining and Quarrying,Nonmetallic Mineral Mining and Quarrying,"Mining, Quarrying, and Oil and Gas Extraction",Fertilizers & Agricultural Chemicals,Chemicals,Basic Materials,Chemicals,Materials,,Agricultural Chemicals,Chemicals,Chemicals,Basic Materials,,Mining (except Oil and Gas),CNE000000SW2
0,TW0002352002,Taiwan,Asia,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,Computer and Peripheral Equipment Manufacturing,Manufacturing,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Technology,Technology Hardware & Equipment,Technology Hardware & Equipment,,Computer Hardware,"Computers, Phones & Household Electronics",Technology Equipment,Technology,,Computer and Electronic Product Manufacturing,TW0002352002
0,US74735M1080,Cyprus,Europe,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",Activities Related to Credit Intermediation,Finance and Insurance,Data Processing & Outsourced Services,IT Services,Industrials,Industrial Support Services,Software & Services,"Business Services, Not Elsewhere Classified",Business Support Services,Professional & Commercial Services,Industrial & Commercial Services,Industrials,,Credit Intermediation and Related Activities,US74735M1080
0,MYL7084OO006,Malaysia,Asia,Other Animal Food Manufacturing,Animal Food Manufacturing,Manufacturing,Packaged Foods & Meats,Food Products,Consumer Staples,Food Producers,"Food, Beverage & Tobacco",,Fishing & Farming,Food & Tobacco,Food & Beverages,Consumer Non-Cyclicals,,Food Manufacturing,MYL7084OO006
0,US74736K1016,United States of America,Americas,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,Communications Equipment Manufacturing,Manufacturing,Semiconductors,Semiconductors & Semiconductor Equipment,Technology,Technology Hardware & Equipment,Semiconductors & Semiconductor Equipment,Semiconductors and Related Devices,Semiconductor Equipment & Testing,Semiconductors & Semiconductor Equipment,Technology Equipment,Technology,,Computer and Electronic Product Manufacturing,US74736K1016
0,FI4000198031,Finland,Europe,Software Publishers,Software Publishers,Information,Application Software,Software,Technology,Software & Computer Services,Software & Services,,Software,Software & IT Services,Software & IT Services,Technology,,Publishing Industries,FI4000198031
